3298 1
0 -9 -53
1 -46 -10
2 -63 -79
3 3 -60
4 -8 3
5 24 -52
6 -16 -49
7 -62 -61
8 0 -64
9 -68 56
10 -7 25
11 81 -35
12 29 -22
13 -41 76
14 -60 -64
15 -37 -18
16 -67 17
17 72 -30
18 38 -76
19 -40 -70
20 27 84
21 -72 62
22 85 -34
23 51 -16
24 -48 84
25 91 45
26 8 21
27 60 87
28 100 -81
29 12 -61
30 -95 75
31 21 -62
32 -59 -57
33 -42 79
34 -33 19
35 59 45
36 -48 87
37 -44 88
38 -97 -94
39 -79 -95
40 90 -89
41 51 -53
42 33 -40
43 -67 -18
44 -71 -5
45 -29 -66
46 -31 43
47 -78 -40
48 86 -69
49 -61 -98
50 0 98
51 -3 52
52 35 53
53 39 -12
54 10 61
55 -7 -1
56 22 94
57 -3 -96
58 -46 -20
59 -14 -17
60 76 58
61 -32 95
62 0 -10
63 -45 -65
64 -29 -56
65 88 71
66 92 -15
67 23 26
68 88 -89
69 -87 -3
70 22 -43
71 47 95
72 -50 -57
73 99 4
74 23 -65
75 38 -52
76 43 -95
77 -57 -58
78 -55 -52
79 -73 17
80 -8 -86
81 -13 -17
82 -51 60
83 60 88
84 22 73
85 -66 94
86 80 81
87 88 -70
88 74 37
89 -16 -3
90 72 72
91 -5 -36
92 77 38
93 6 73
94 36 -17
95 -61 -73
96 -53 -24
97 11 -53
98 87 -30
99 -66 -42
100 93 -32
101 -49 73
102 100 90
103 53 73
104 -24 -64
105 -81 98
106 -92 15
107 -39 35
108 -98 17
109 -43 39
110 100 -4
111 66 97
112 73 -74
113 -57 59
114 -54 -23
115 67 -61
116 -4 -83
117 62 -5
118 57 14
119 -33 -68
120 0 -13
121 -71 -42
122 52 -60
123 44 54
124 57 -100
125 -8 56
126 -53 -92
127 53 -81
128 -66 46
129 28 -19
130 -77 -56
131 -30 19
132 -39 82
133 64 69
134 -5 -70
135 -100 45
136 -33 81
137 54 -82
138 -80 -3
139 23 78
140 -53 65
141 -17 -6
142 73 86
143 -37 58
144 32 41
145 89 5
146 85 -92
147 74 97
148 90 37
149 65 -66
150 17 15
151 79 85
152 -5 32
153 53 -34
154 79 -75
155 -57 77
156 91 -24
157 -30 13
158 -38 -16
159 -80 94
160 75 -92
161 -2 60
162 -84 -29
163 6 -95
164 58 -30
165 -61 -26
166 85 69
167 -92 -70
168 -50 12
169 -4 80
170 37 -11
171 56 -23
172 65 76
173 91 -74
174 -41 -90
175 70 -66
176 70 -83
177 44 36
178 -62 -51
179 42 96
180 19 31
181 -30 -47
182 -51 -22
183 -17 -50
184 40 29
185 -71 -23
186 -83 85
187 54 83
188 10 -6
189 59 70
190 -45 29
191 54 -76
192 -4 -53
193 60 35
194 -4 -49
195 30 65
196 33 50
197 68 82
198 79 -49
199 -69 18
200 80 -90
201 45 48
202 45 -1
203 30 -45
204 43 -62
205 75 98
206 67 28
207 -79 -37
208 25 32
209 48 -80
210 83 -23
211 35 -35
212 -73 2
213 -53 -95
214 53 -72
215 -27 -17
216 -61 -82
217 -70 34
218 -33 10
219 89 -91
220 48 63
221 -93 -35
222 -60 79
223 -22 65
224 10 -75
225 35 -57
226 -48 -31
227 8 -21
228 72 5
229 -66 -26
230 -16 8
231 7 -27
232 26 37
233 -94 43
234 97 96
235 52 -5
236 8 9
237 60 49
238 -62 88
239 -37 -2
240 -88 99
241 41 -36
242 -83 100
243 -6 89
244 -46 -22
245 -37 38
246 36 70
247 -90 -89
248 -43 -83
249 54 -97
250 -88 6
251 -2 20
252 65 -93
253 -82 -98
254 95 -68
255 1 -94
256 -70 92
257 -79 -53
258 41 -35
259 87 96
260 43 -51
261 33 -21
262 69 44
263 -60 76
264 61 95
265 80 23
266 -50 -23
267 93 -86
268 -15 -89
269 68 -71
270 -57 -32
271 -64 -77
272 -91 -93
273 -80 51
274 -28 -94
275 46 65
276 -95 -22
277 94 75
278 -79 -66
279 0 32
280 -72 -21
281 -46 -72
282 7 98
283 -58 42
284 59 -91
285 71 -99
286 -73 57
287 75 -63
288 14 95
289 88 86
290 52 33
291 1 57
292 61 -56
293 -19 83
294 -22 82
295 -36 -44
296 -90 19
297 -16 17
298 16 -23
299 -42 -26
300 -64 80
301 -75 -36
302 36 50
303 1 -100
304 -6 -62
305 36 -55
306 21 -64
307 53 -19
308 -19 -67
309 -87 9
310 65 -22
311 16 76
312 47 100
313 -8 -88
314 -74 1
315 -64 -37
316 -70 -39
317 27 16
318 61 78
319 16 -46
320 66 -48
321 -50 -14
322 -62 -98
323 17 19
324 86 31
325 79 51
326 -92 -6
327 -24 55
328 -57 68
329 67 -30
330 33 99
331 -87 -91
332 15 24
333 37 -70
334 28 -48
335 -68 78
336 -12 -29
337 30 -96
338 90 -34
339 35 18
340 -84 -7
341 -89 -58
342 -53 -45
343 60 64
344 -25 79
345 16 58
346 77 -21
347 17 -59
348 -98 -97
349 -28 31
350 -45 4
351 -42 43
352 25 89
353 47 -35
354 -46 -68
355 83 -80
356 25 95
357 -38 23
358 100 -79
359 -14 -26
360 50 53
361 -69 -23
362 -69 -2
363 18 -66
364 1 40
365 15 56
366 95 73
367 -52 19
368 11 45
369 34 15
370 77 17
371 -15 2
372 -39 -3
373 75 -40
374 -31 -40
375 -16 69
376 63 -35
377 -55 95
378 63 14
379 79 -87
380 -97 -7
381 69 48
382 -85 67
383 -83 27
384 11 51
385 92 -12
386 -33 -73
387 40 28
388 24 14
389 38 93
390 24 72
391 12 -13
392 87 57
393 -69 49
394 -80 -91
395 62 75
396 2 -20
397 22 -33
398 -54 39
399 94 58
400 -10 36
401 96 57
402 63 -15
403 -65 -14
404 49 23
405 -71 -78
406 -5 41
407 9 -19
408 -53 -10
409 81 -82
410 -1 -8
411 93 51
412 23 14
413 -82 19
414 -97 62
415 -24 -7
416 -53 -79
417 100 -91
418 6 85
419 -54 -46
420 8 -75
421 -23 -98
422 16 36
423 -67 13
424 77 64
425 31 -25
426 -44 -27
427 77 79
428 38 45
429 -3 41
430 -44 24
431 84 4
432 -5 83
433 -37 52
434 68 9
435 56 -25
436 -16 -68
437 -73 100
438 19 -90
439 -37 -55
440 75 44
441 -30 81
442 -83 -54
443 59 5
444 41 -95
445 -55 98
446 -21 -72
447 1 75
448 61 64
449 -24 -22
450 -77 -69
451 3 7
452 -86 -20
453 -43 33
454 -9 20
455 28 -85
456 -37 98
457 96 -70
458 -56 4
459 35 85
460 -41 30
461 82 39
462 8 -68
463 -37 -31
464 47 39
465 47 70
466 70 -100
467 -74 84
468 -20 -67
469 -34 71
470 53 94
471 86 67
472 42 31
473 47 86
474 -66 -18
475 20 -6
476 62 -48
477 83 -30
478 -66 -55
479 -11 81
480 34 86
481 0 3
482 86 27
483 -63 -34
484 60 -47
485 87 -37
486 98 23
487 80 39
488 -47 26
489 -26 -62
490 58 94
491 32 -30
492 96 14
493 40 -70
494 9 -72
495 -90 -58
496 64 11
497 -5 50
498 88 -18
499 66 -3
500 36 52
501 10 -17
502 -26 -11
503 -79 -22
504 66 -55
505 16 -27
506 -62 98
507 43 85
508 11 -18
509 -86 70
510 -40 75
511 -89 -76
512 -65 -44
513 24 -78
514 39 -11
515 -30 -76
516 91 80
517 7 -85
518 -31 -22
519 -7 85
520 23 59
521 -43 11
522 56 -100
523 -5 -34
524 -68 -41
525 -65 -57
526 -66 97
527 -83 -81
528 -48 41
529 93 41
530 80 -38
531 65 70
532 -59 -79
533 85 -40
534 -1 -73
535 -56 72
536 86 2
537 -17 41
538 -48 28
539 57 -66
540 38 42
541 -23 22
542 38 -6
543 41 41
544 85 33
545 -19 64
546 95 97
547 34 -64
548 -83 -32
549 -4 -33
550 -4 -9
551 89 -19
552 93 -79
553 73 95
554 50 29
555 79 -13
556 -29 -44
557 -92 -92
558 0 -1
559 -1 -15
560 -68 81
561 99 77
562 27 -18
563 -88 44
564 51 -41
565 61 97
566 50 50
567 -73 -8
568 71 100
569 -64 -30
570 29 -86
571 7 100
572 -30 -35
573 58 21
574 65 -43
575 56 47
576 88 54
577 87 36
578 -93 37
579 45 69
580 18 10
581 36 -62
582 10 72
583 9 89
584 86 -85
585 38 -94
586 -19 -5
587 27 96
588 2 -68
589 42 -11
590 86 -36
591 53 72
592 50 61
593 -42 -6
594 -21 -9
595 38 47
596 -99 -27
597 85 -39
598 95 -57
599 -51 81
600 -91 87
601 37 -10
602 -69 -37
603 -65 34
604 -55 77
605 73 -70
606 53 41
607 -64 61
608 85 -35
609 -48 -27
610 -89 -97
611 46 96
612 -36 41
613 90 -37
614 -29 99
615 100 -93
616 -62 -70
617 -80 -27
618 14 -35
619 100 -63
620 -55 90
621 13 48
622 -20 -1
623 -41 -85
624 -12 75
625 -36 -67
626 20 28
627 24 9
628 41 45
629 7 40
630 52 45
631 20 72
632 68 85
633 87 67
634 72 -68
635 7 -66
636 30 87
637 33 89
638 -99 -54
639 -1 -11
640 71 13
641 -27 -60
642 -60 47
643 0 31
644 -8 57
645 -80 -57
646 66 -81
647 -25 52
648 87 -54
649 34 -7
650 -20 -36
651 -71 63
652 -98 82
653 59 2
654 -30 -21
655 -86 -7
656 19 -95
657 -60 69
658 -14 32
659 26 7
660 25 78
661 98 -60
662 97 -28
663 43 33
664 -32 -24
665 76 -2
666 -10 56
667 -90 -7
668 37 69
669 45 -94
670 98 9
671 -50 16
672 -36 -10
673 -65 51
674 72 61
675 -43 -54
676 38 -46
677 -13 -16
678 -24 80
679 68 44
680 -45 -7
681 -59 -4
682 -52 -49
683 39 85
684 70 -17
685 42 67
686 42 92
687 -68 -94
688 -69 -33
689 57 53
690 78 64
691 49 15
692 68 86
693 50 -57
694 65 -33
695 87 71
696 60 78
697 -34 -92
698 79 55
699 43 48
700 -63 -16
701 -36 29
702 -75 -54
703 35 -44
704 -36 -59
705 59 -59
706 55 8
707 7 22
708 -57 -94
709 65 -92
710 -27 51
711 79 83
712 -22 95
713 91 -44
714 49 -16
715 54 36
716 68 68
717 -36 44
718 -86 50
719 50 -72
720 41 9
721 -31 -4
722 67 26
723 -83 -91
724 32 33
725 68 55
726 -17 -4
727 38 12
728 -60 -22
729 68 39
730 62 22
731 -76 -20
732 -11 -61
733 74 -47
734 89 23
735 -19 -21
736 82 1
737 75 -2
738 77 43
739 -42 -41
740 -25 -75
741 64 8
742 -28 1
743 -81 12
744 30 88
745 -99 -59
746 -41 -75
747 -29 -2
748 -36 -56
749 52 -98
750 68 83
751 -18 49
752 -67 -44
753 98 61
754 49 -45
755 -81 -77
756 -20 83
757 -18 2
758 -66 1
759 -86 64
760 -62 -85
761 -96 -3
762 -60 -74
763 46 -45
